time,event
2026-03-02T11:56:12.811425,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:14.614137,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:14.867133,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:15.440941,poll ok #16 duration_ms=2629 degraded=0 timeout_streak=0
2026-03-02T11:56:17.809978,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:19.611588,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:19.863646,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:20.429235,poll ok #17 duration_ms=2620 degraded=0 timeout_streak=0
2026-03-02T11:56:22.810715,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:24.613158,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:24.865040,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:25.440945,recv ok op=points@0 regs=72 attempt=2 duration_ms=575
2026-03-02T11:56:25.440945,candidate selected op=points start=0
=0 timeout_streak=0
2026-03-02T11:56:27.810725,poll start #19
2026-03-02T11:56:27.810725,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:28.396116,poll ok #19 duration_ms=585 degraded=0 timeout_streak=0
2026-03-02T11:56:32.811939,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:33.323263,candidate selected op=points start=0
 duration_ms=512
2026-03-02T11:56:33.324285,poll ok #20 duration_ms=513 degraded=0 timeout_streak=0
2026-03-02T11:56:37.810771,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:39.615074,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:39.870591,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:40.956625,candidate selected op=points start=0
 duration_ms=1087
2026-03-02T11:56:40.961221,poll ok #21 duration_ms=3149 degraded=0 timeout_streak=0
2026-03-02T11:56:42.810958,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:44.613328,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:44.867133,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:44.893105,trace cleared
2026-03-02T11:56:45.951594,candidate selected op=points start=0
 duration_ms=1083
2026-03-02T11:56:45.951594,poll ok #22 duration_ms=3141 degraded=0 timeout_streak=0
2026-03-02T11:56:47.812777,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:49.616193,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:49.868150,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:50.939959,recv ok op=points@0 regs=72 attempt=2 duration_ms=1071
2026-03-02T11:56:50.939959,candidate selected op=points start=0
2026-03-02T11:56:50.939959,poll ok #23 duration_ms=3129 degraded=0 timeout_streak=0
2026-03-02T11:56:52.811502,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:54.615342,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:56:54.867838,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:56:55.963262,candidate selected op=points start=0
 duration_ms=1095
2026-03-02T11:56:55.967105,poll ok #24 duration_ms=3156 degraded=0 timeout_streak=0
2026-03-02T11:56:57.812035,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:56:58.914039,poll ok #25 duration_ms=1102 degraded=0 timeout_streak=0
2026-03-02T11:57:02.810728,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:03.325808,poll ok #26 duration_ms=515 degraded=0 timeout_streak=0
2026-03-02T11:57:07.811179,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:09.613553,timeout op=points@0 start=0 count=72 attempt=1/2 streak=1 degraded=0
2026-03-02T11:57:09.613553,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:57:09.866051,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:57:10.951689,candidate selected op=points start=0
 duration_ms=1085
2026-03-02T11:57:10.953366,poll ok #27 duration_ms=3142 degraded=0 timeout_streak=0
2026-03-02T11:57:12.810844,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:13.908698,poll ok #28 duration_ms=1098 degraded=0 timeout_streak=0
2026-03-02T11:57:17.809847,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:18.328131,poll ok #29 duration_ms=518 degraded=0 timeout_streak=0
2026-03-02T11:57:22.810984,send op=points@0 start=0 count=72 attempt=1/2
2026-03-02T11:57:24.613169,retry scheduled op=points@0 next_in_ms=250 after_error=ModbusTcpException: response timeout (1 consecutive)
2026-03-02T11:57:24.877438,send op=points@0 start=0 count=72 attempt=2/2
2026-03-02T11:57:25.971752,candidate selected op=points start=0
 duration_ms=1093
2026-03-02T11:57:25.978767,poll ok #30 duration_ms=3167 degraded=0 timeout_streak=0
2026-03-02T11:57:27.819036,send op=points@0 start=0 count=72 attempt=1/2
