time,zone,alarm_type,event,message
2026-02-22T12:59:44.337312,11,offline,raise,Zone 11 is offline
lid sensor value
2026-02-22T12:59:47.328840,12,invalidSensor,raise,Zone 12: invalid sensor value
2026-02-22T12:59:50.339557,13,invalidSensor,raise,Zone 13: invalid sensor value
2026-02-22T12:59:53.331916,14,invalidSensor,raise,Zone 14: invalid sensor value
2026-02-22T12:59:56.339923,15,offline,raise,Zone 15 is offline
lid sensor value
2026-02-22T12:59:59.348302,16,offline,raise,Zone 16 is offline
lid sensor value
2026-02-22T13:00:01.659834,17,invalidSensor,raise,Zone 17: invalid sensor value
2026-02-22T13:00:04.348321,18,invalidSensor,raise,Zone 18: invalid sensor value
2026-02-22T13:00:07.343424,19,invalidSensor,raise,Zone 19: invalid sensor value
2026-02-22T13:00:10.348577,19,stale,raise,Zone 19: stale data
alid sensor value
2026-02-22T13:00:24.357634,4,invalidSensor,raise,Zone 4: invalid sensor value
2026-02-22T14:00:27.164058,18,offline,raise,Zone 18 is offline
2026-02-22T14:01:32.028234,2,offline,raise,Zone 2 is offline
2026-02-22T14:01:33.841480,18,stale,raise,Zone 18: stale data

2026-02-22T14:01:39.882307,1,offline,raise,Zone 1 is offline
2026-02-23T09:34:17.800419,3,offline,raise,Zone 3 is offline
e
2026-02-23T09:35:44.285321,1,offline,raise,Zone 1 is offline
2026-02-23T09:35:57.431538,1,stale,raise,Zone 1: stale data
alid sensor value
2026-02-23T14:02:20.798972,1,offline,clear,Zone 1 is offline
lid sensor value
2026-02-23T14:21:08.552918,1,stale,raise,Zone 1: stale data

2026-02-23T14:21:23.549123,1,offline,clear,Zone 1 is offline
2026-02-23T14:31:53.513350,1,stale,raise,Zone 1: stale data

2026-02-23T14:32:08.538569,1,stale,clear,Zone 1: stale data

2026-02-23T14:34:27.742552,1,stale,raise,Zone 1: stale data
2026-02-23T14:34:32.755973,1,stale,clear,Zone 1: stale data
2026-02-23T14:37:38.539007,1,stale,raise,Zone 1: stale data
2026-02-23T14:37:43.546679,1,stale,clear,Zone 1: stale data
2026-02-23T14:48:23.496499,1,stale,raise,Zone 1: stale data

2026-02-23T14:48:38.526335,1,offline,clear,Zone 1 is offline
2026-02-23T14:48:38.527431,1,stale,clear,Zone 1: stale data
2026-02-23T14:54:08.600089,1,stale,raise,Zone 1: stale data
2026-02-23T14:54:13.597489,1,stale,clear,Zone 1: stale data
2026-02-23T14:59:42.685390,1,stale,raise,Zone 1: stale data
2026-02-23T14:59:47.706046,1,stale,clear,Zone 1: stale data
2026-02-23T15:02:53.456673,1,stale,raise,Zone 1: stale data
2026-02-23T15:02:58.451881,1,stale,clear,Zone 1: stale data
2026-02-23T15:17:25.788169,1,stale,raise,Zone 1: stale data

2026-02-23T15:17:37.664259,1,stale,clear,Zone 1: stale data

2026-02-23T15:21:43.906190,1,offline,raise,Zone 1 is offline
2026-02-23T15:21:46.444291,1,stale,clear,Zone 1: stale data

2026-02-23T15:28:17.849335,1,stale,raise,Zone 1: stale data
2026-02-23T15:28:22.852992,1,stale,clear,Zone 1: stale data
2026-02-23T15:31:27.831405,1,offline,raise,Zone 1 is offline
2026-02-24T08:01:39.492504,1,offline,raise,Zone 1 is offline
2026-02-24T08:05:40.210255,1,offline,raise,Zone 1 is offline
2026-02-24T08:34:03.712616,1,offline,raise,Zone 1 is offline
2026-02-24T09:24:54.999434,1,offline,raise,Zone 1 is offline
2026-02-24T09:48:11.569496,1,offline,clear,Zone 1 is offline
2026-02-24T09:48:29.603799,1,stale,raise,Zone 1: stale data

2026-02-24T09:48:32.341559,1,offline,clear,Zone 1 is offline
2026-02-24T09:48:32.341559,1,stale,clear,Zone 1: stale data
